event_time,sensor_id,raw_time,converted_time,delta_ms,matched,reason
1754904963.201,imu,1754904963.201,1754904963.201,0.12,1,matched
1754904963.207,imu,1754904963.207,1754904963.207,0.04,1,matched
1754904963.217,imu,1754904963.217,1754904963.217,0.12,1,matched
1754904963.223,imu,1754904963.223,1754904963.223,0.05,1,matched
1754904963.229,imu,1754904963.229,1754904963.229,0.06,1,matched
1754904963.236,imu,1754904963.236,1754904963.236,0.06,1,matched
1754904963.243,imu,1754904963.243,1754904963.243,0.06,1,matched
1754904963.249,imu,1754904963.249,1754904963.249,0.05,1,matched
1754904963.256,imu,1754904963.256,1754904963.256,0.05,1,matched
1754904963.263,imu,1754904963.262,1754904963.262,0.06,1,matched
1754904963.264,gps,1754904963.264,1754904963.264,0.05,1,matched
1754904963.271,imu,1754904963.271,1754904963.271,0.06,1,matched
1754904963.276,imu,1754904963.276,1754904963.276,0.04,1,matched
1754904963.283,imu,1754904963.282,1754904963.283,0.04,1,matched
1754904963.289,imu,1754904963.289,1754904963.289,0.06,1,matched
1754904963.296,imu,1754904963.296,1754904963.296,0.06,1,matched
1754904963.302,imu,1754904963.302,1754904963.302,0.05,1,matched
1754904963.309,imu,1754904963.309,1754904963.309,0.05,1,matched
1754904963.316,imu,1754904963.316,1754904963.316,0.05,1,matched
1754904963.322,imu,1754904963.322,1754904963.322,0.08,1,matched
1754904963.329,imu,1754904963.329,1754904963.329,0.09,1,matched
1754904963.336,imu,1754904963.336,1754904963.336,0.07,1,matched
1754904963.343,imu,1754904963.343,1754904963.343,0.09,1,matched
1754904963.349,imu,1754904963.349,1754904963.349,0.04,1,matched
1754904963.356,imu,1754904963.356,1754904963.356,0.06,1,matched
1754904963.363,imu,1754904963.363,1754904963.363,0.09,1,matched
1754904963.370,imu,1754904963.370,1754904963.370,0.07,1,matched
1754904963.380,imu,1754904963.380,1754904963.380,0.08,1,matched
1754904963.386,imu,1754904963.386,1754904963.386,0.05,1,matched
1754904963.389,lidar,1754904963.389,1754904963.389,0.06,1,matched
1754904963.393,imu,1754904963.393,1754904963.393,0.04,1,matched
1754904963.400,imu,1754904963.399,1754904963.400,0.08,1,matched
1754904963.406,imu,1754904963.406,1754904963.406,0.05,1,matched
1754904963.413,imu,1754904963.413,1754904963.413,0.08,1,matched
1754904963.423,imu,1754904963.423,1754904963.423,0.05,1,matched
1754904963.426,imu,1754904963.426,1754904963.426,0.11,1,matched
1754904963.434,imu,1754904963.434,1754904963.434,0.06,1,matched
1754904963.440,imu,1754904963.440,1754904963.440,0.06,1,matched
1754904963.447,imu,1754904963.447,1754904963.447,0.06,1,matched
1754904963.453,imu,1754904963.453,1754904963.453,0.06,1,matched
1754904963.460,imu,1754904963.460,1754904963.460,0.05,1,matched
1754904963.466,gps,1754904963.466,1754904963.466,0.05,1,matched
1754904963.467,imu,1754904963.467,1754904963.467,0.02,1,matched
1754904963.474,imu,1754904963.473,1754904963.474,0.05,1,matched
1754904963.480,imu,1754904963.480,1754904963.480,0.10,1,matched
1754904963.487,imu,1754904963.487,1754904963.487,0.04,1,matched
1754904963.493,imu,1754904963.493,1754904963.493,0.06,1,matched
1754904963.500,imu,1754904963.500,1754904963.500,0.06,1,matched
1754904963.507,imu,1754904963.507,1754904963.507,0.05,1,matched
1754904963.514,imu,1754904963.514,1754904963.514,0.06,1,matched
1754904963.521,imu,1754904963.521,1754904963.521,0.05,1,matched
1754904963.528,imu,1754904963.527,1754904963.528,0.06,1,matched
1754904963.534,imu,1754904963.534,1754904963.534,0.05,1,matched
1754904963.541,imu,1754904963.541,1754904963.541,0.04,1,matched
1754904963.547,imu,1754904963.547,1754904963.547,0.07,1,matched
1754904963.554,imu,1754904963.554,1754904963.554,0.07,1,matched
1754904963.561,imu,1754904963.561,1754904963.561,0.05,1,matched
1754904963.567,imu,1754904963.567,1754904963.567,0.04,1,matched
1754904963.574,imu,1754904963.574,1754904963.574,0.06,1,matched
1754904963.581,imu,1754904963.581,1754904963.581,0.04,1,matched
1754904963.587,imu,1754904963.587,1754904963.587,0.05,1,matched
1754904963.594,imu,1754904963.594,1754904963.594,0.06,1,matched
1754904963.601,imu,1754904963.601,1754904963.601,0.05,1,matched
1754904963.607,imu,1754904963.607,1754904963.607,0.06,1,matched
1754904963.614,imu,1754904963.614,1754904963.614,0.08,1,matched
1754904963.621,imu,1754904963.621,1754904963.621,0.09,1,matched
1754904963.628,imu,1754904963.627,1754904963.628,0.06,1,matched
1754904963.634,imu,1754904963.634,1754904963.634,0.05,1,matched
1754904963.641,imu,1754904963.641,1754904963.641,0.07,1,matched
1754904963.648,imu,1754904963.648,1754904963.648,0.09,1,matched
1754904963.654,imu,1754904963.654,1754904963.654,0.08,1,matched
