trial,latency_ms
1,185.351
2,137.031
3,137.905
4,186.219
5,136.484
6,186.828
7,236.548
8,187.328
9,188.213
10,188.620
11,189.438
12,137.603
13,236.897
14,190.804
15,188.490
16,139.083
17,239.512
18,140.017
19,190.687
20,190.981
21,142.343
22,192.922
23,141.631
24,141.833
25,192.432
26,193.220
27,195.029
28,194.474
29,191.439
30,244.736
31,192.464
32,144.057
33,243.206
34,145.008
35,194.725
36,196.999
37,196.306
38,196.792
39,246.757
40,197.146
41,247.461
42,144.991
43,247.349
44,148.620
45,247.523
46,247.546
47,147.397
48,147.870
49,247.911
50,249.714
51,150.522
52,249.754
53,150.423
54,152.071
55,151.272
56,148.841
57,149.042
58,100.271
59,200.098
60,150.418
61,151.270
62,151.881
mean,183.545
max,249.754
stddev,39.267
