component,check,status,evidence
/statusjoy,topic_available,PASS,samples=27081
/statusjoy,valid_can_state_values,PASS,observed=[1]
/statusjoy,minimum_update_rate,PASS,rate_hz=167.45
/statusjoy,communication_continuity,PASS,max_gap_s=0.037163496017456055
/joints,topic_available,PASS,samples=1616
/joints,minimum_channel_count,PASS,min_channels=4
/joints,finite_numeric_values,PASS,"columns=['joints_0', 'joints_1', 'joints_2', 'joints_3']"
/joints,minimum_update_rate,PASS,rate_hz=9.99
/joints,communication_continuity,PASS,max_gap_s=0.1029500961303711
/joints,can_feedback_changes_detected,PASS,"moving_channels=['joints_0', 'joints_1', 'joints_2', 'joints_3'], ranges={'joints_0': 29.39999693632126, 'joints_1': 8.015153408050537, 'joints_2': 74.09999656677246, 'joints_3': 3.0}"
/joint_states,topic_available,PASS,samples=1616
/joint_states,expected_joint_names_present,PASS,"present=['base_to_cylinder_joint', 'cylinder_to_arm1_joint', 'arm_link1_to_arm2_joint', 'arm_link2_to_arm3_joint', 'arm_link3_to_arm4_joint', 'arm_link4_to_armFork_joint']"
/joint_states,finite_numeric_values,PASS,"checked=['base_to_cylinder_joint', 'cylinder_to_arm1_joint', 'arm_link1_to_arm2_joint', 'arm_link2_to_arm3_joint', 'arm_link3_to_arm4_joint', 'arm_link4_to_armFork_joint']"
/joint_states,minimum_update_rate,PASS,rate_hz=9.99
/joint_states,communication_continuity,PASS,max_gap_s=0.11095547676086426
