time_ns,time_s,statusjoy,valid_value
1783505085297338834,1783505085.297339,1,True
1783505085305293319,1783505085.3052933,1,True
1783505085309383630,1783505085.3093836,1,True
1783505085313399310,1783505085.3133993,1,True
1783505085317597554,1783505085.3175974,1,True
1783505085325925173,1783505085.325925,1,True
1783505085330068453,1783505085.3300686,1,True
1783505085330202025,1783505085.330202,1,True
1783505085338114381,1783505085.3381143,1,True
1783505085346386535,1783505085.3463864,1,True
1783505085350377418,1783505085.3503776,1,True
1783505085358579911,1783505085.3585799,1,True
1783505085366848378,1783505085.3668482,1,True
1783505085366933548,1783505085.3669336,1,True
1783505085371040821,1783505085.3710408,1,True
1783505085379230319,1783505085.3792303,1,True
1783505085379346989,1783505085.3793468,1,True
1783505085387417383,1783505085.3874173,1,True
1783505085387499979,1783505085.3875,1,True
1783505085400824537,1783505085.4008245,1,True
1783505085404676078,1783505085.4046762,1,True
1783505085412418303,1783505085.4124184,1,True
1783505085415842969,1783505085.415843,1,True
1783505085424112748,1783505085.4241126,1,True
1783505085428414287,1783505085.428414,1,True
1783505085428505269,1783505085.4285054,1,True
1783505085432373471,1783505085.4323735,1,True
1783505085436437282,1783505085.4364371,1,True
1783505085444533794,1783505085.4445338,1,True
1783505085448858056,1783505085.448858,1,True
1783505085456930514,1783505085.4569306,1,True
1783505085465168453,1783505085.4651685,1,True
1783505085469369072,1783505085.4693692,1,True
1783505085477447681,1783505085.4774477,1,True
1783505085485741967,1783505085.485742,1,True
1783505085490003751,1783505085.4900038,1,True
1783505085493950481,1783505085.4939504,1,True
1783505085498108399,1783505085.4981084,1,True
1783505085506299060,1783505085.506299,1,True
1783505085510400371,1783505085.5104003,1,True
1783505085518598225,1783505085.518598,1,True
1783505085526757166,1783505085.526757,1,True
1783505085535029320,1783505085.5350292,1,True
1783505085539105734,1783505085.539106,1,True
1783505085543065950,1783505085.5430658,1,True
1783505085547473499,1783505085.5474734,1,True
1783505085551524024,1783505085.5515242,1,True
1783505085559566275,1783505085.5595663,1,True
1783505085567848758,1783505085.5678487,1,True
1783505085567935181,1783505085.5679352,1,True
1783505085580062092,1783505085.5800622,1,True
1783505085588440166,1783505085.5884402,1,True
1783505085588574178,1783505085.5885742,1,True
1783505085592446498,1783505085.5924466,1,True
1783505085596420099,1783505085.59642,1,True
1783505085600606240,1783505085.6006062,1,True
1783505085604421012,1783505085.6044211,1,True
1783505085608752808,1783505085.608753,1,True
1783505085616748040,1783505085.616748,1,True
1783505085625047225,1783505085.6250472,1,True
1783505085629462177,1783505085.6294622,1,True
1783505085637323487,1783505085.6373236,1,True
1783505085641628903,1783505085.641629,1,True
1783505085645753569,1783505085.6457536,1,True
1783505085649894986,1783505085.649895,1,True
1783505085653924572,1783505085.6539247,1,True
1783505085657768649,1783505085.6577687,1,True
1783505085666086860,1783505085.666087,1,True
1783505085670251190,1783505085.6702514,1,True
1783505085678204743,1783505085.6782048,1,True
1783505085686532462,1783505085.6865323,1,True
1783505085690668829,1783505085.6906688,1,True
1783505085694701952,1783505085.6947021,1,True
1783505085698828972,1783505085.6988292,1,True
1783505085707135241,1783505085.7071352,1,True
1783505085707255538,1783505085.7072556,1,True
1783505085711231192,1783505085.7112312,1,True
1783505085719249187,1783505085.7192492,1,True
1783505085727594319,1783505085.7275941,1,True
1783505085731576956,1783505085.731577,1,True
1783505085739795540,1783505085.7397954,1,True
1783505085748139018,1783505085.748139,1,True
1783505085748248324,1783505085.7482483,1,True
1783505085752130562,1783505085.7521305,1,True
1783505085760267181,1783505085.7602673,1,True
1783505085764290235,1783505085.7642903,1,True
1783505085768530018,1783505085.76853,1,True
1783505085768752687,1783505085.7687526,1,True
1783505085780787434,1783505085.7807875,1,True
1783505085784724757,1783505085.7847247,1,True
1783505085789079195,1783505085.7890792,1,True
1783505085801231774,1783505085.8012319,1,True
1783505085805384272,1783505085.8053842,1,True
1783505085809504840,1783505085.8095047,1,True
1783505085809602484,1783505085.8096025,1,True
1783505085817641489,1783505085.8176415,1,True
1783505085821675073,1783505085.821675,1,True
1783505085825710410,1783505085.8257103,1,True
1783505085830069076,1783505085.830069,1,True
1783505085838007782,1783505085.838008,1,True
1783505085846318739,1783505085.846319,1,True
1783505085850503147,1783505085.8505032,1,True
1783505085858596304,1783505085.8585963,1,True
1783505085862933500,1783505085.8629334,1,True
1783505085866974798,1783505085.8669748,1,True
1783505085871134520,1783505085.8711345,1,True
1783505085875123309,1783505085.8751233,1,True
1783505085879104564,1783505085.8791046,1,True
