trial_id,target_name,group_name,obstacle_name,obstacle_frame,obstacle_size_xyz,obstacle_position_xyz,pre_clear_scene_ok,pre_clear_scene_ms,baseline_planning_status,baseline_moveit_error_code,baseline_planning_response_ms,apply_obstacle_ok,apply_obstacle_ms,candidate_state_valid,detection_check_ms,detection_response_ms,planning_status,moveit_error_code,planning_response_ms,plan_available_response_ms,response_time_ms,validation_ms,trajectory_valid,checked_waypoints,invalid_waypoints,post_clear_scene_ok,post_clear_scene_ms,success,failure_reason
1,Pose_Arm_01,Arm_Group,no_obstacle,base_link,0.0;0.0;0.0,0.0;0.0;0.0,False,1.259,planning_succeeded,1,634.356,True,0.0,True,2.007,2.007,planning_succeeded,1,305.777,305.777,2.007,108.795,True,56,0,True,0.0,True,none
2,Pose_Arm_02,Arm_Group,no_obstacle,base_link,0.0;0.0;0.0,0.0;0.0;0.0,False,1.198,planning_succeeded,1,233.141,True,0.0,True,1.468,1.468,planning_succeeded,1,388.013,388.013,1.468,72.064,True,45,0,True,0.0,True,none
3,Idle2,Arm_Group,no_obstacle,base_link,0.0;0.0;0.0,0.0;0.0;0.0,False,1.008,planning_succeeded,1,72.045,True,0.0,False,1.674,1.674,planning_succeeded,1,74.734,74.734,1.674,13.101,True,4,0,True,0.0,True,none
4,Pose_Arm_01,Arm_Group,no_obstacle,base_link,0.0;0.0;0.0,0.0;0.0;0.0,False,48.168,planning_succeeded,1,314.083,True,0.0,True,1.24,1.24,planning_succeeded,1,509.03,509.03,1.24,91.567,True,58,0,True,0.0,True,none
5,Pose_Arm_02,Arm_Group,no_obstacle,base_link,0.0;0.0;0.0,0.0;0.0;0.0,False,0.893,planning_succeeded,1,397.743,True,0.0,True,4.976,4.976,planning_succeeded,1,138.231,138.231,4.976,101.646,True,47,0,True,0.0,True,none
6,Idle2,Arm_Group,no_obstacle,base_link,0.0;0.0;0.0,0.0;0.0;0.0,False,1.345,planning_succeeded,1,96.481,True,0.0,False,1.954,1.954,planning_succeeded,1,75.776,75.776,1.954,21.363,True,5,0,True,0.0,True,none
7,Pose_Arm_01,Arm_Group,no_obstacle,base_link,0.0;0.0;0.0,0.0;0.0;0.0,False,31.02,planning_succeeded,1,663.376,True,0.0,True,1.378,1.378,planning_succeeded,1,493.806,493.806,1.378,81.763,True,54,0,True,0.0,True,none
8,Pose_Arm_02,Arm_Group,no_obstacle,base_link,0.0;0.0;0.0,0.0;0.0;0.0,False,0.742,planning_succeeded,1,362.853,True,0.0,True,1.439,1.439,planning_succeeded,1,272.842,272.842,1.439,63.59,True,46,0,True,0.0,True,none
9,Idle2,Arm_Group,no_obstacle,base_link,0.0;0.0;0.0,0.0;0.0;0.0,False,0.816,planning_succeeded,1,86.666,True,0.0,False,2.479,2.479,planning_succeeded,1,110.435,110.435,2.479,24.195,True,5,0,True,0.0,True,none
10,Pose_Arm_01,Arm_Group,no_obstacle,base_link,0.0;0.0;0.0,0.0;0.0;0.0,False,25.557,planning_succeeded,1,278.419,True,0.0,True,1.499,1.499,planning_succeeded,1,609.97,609.97,1.499,103.439,True,53,0,True,0.0,True,none
