trial_id,receive_time_ns,event,raw_data
1_setup,1784103542096231518,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784103542091530011, ""time_ns"": 1784103542091524624}"
1,1784103542548066534,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784103542523617974, ""time_ns"": 1784103542523614463}"
1,1784103550321694192,collision_predicted,"{""event"": ""collision_predicted"", ""execution_index"": 6, ""group_name"": ""Arm_Group"", ""lookahead_point"": 21, ""ros_time_ns"": 1784103550317559374, ""time_ns"": 1784103550317554294}"
1,1784103550361366849,collision_signal_received,"{""event"": ""collision_signal_received"", ""execution_index"": 7, ""group_name"": ""Arm_Group"", ""hit"": 1, ""max_attempts"": 5, ""ros_time_ns"": 1784103550352917072, ""time_ns"": 1784103550352909533}"
1,1784103550361871731,robot_stopped_for_collision,"{""event"": ""robot_stopped_for_collision"", ""execution_index"": 7, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784103550353086172, ""time_ns"": 1784103550353082562}"
1,1784103550362034668,replan_started,"{""event"": ""replan_started"", ""execution_index"": 7, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784103550353290130, ""time_ns"": 1784103550353286140}"
1,1784103551274788068,replan_succeeded,"{""event"": ""replan_succeeded"", ""group_name"": ""Arm_Group"", ""new_points"": 32, ""ros_time_ns"": 1784103551188483082, ""time_ns"": 1784103551188478953}"
1,1784103551282993049,trajectory_replaced,"{""event"": ""trajectory_replaced"", ""group_name"": ""Arm_Group"", ""new_points"": 32, ""ros_time_ns"": 1784103551188567971, ""time_ns"": 1784103551188565255}"
1,1784103552461379557,collision_predicted,"{""event"": ""collision_predicted"", ""execution_index"": 5, ""group_name"": ""Arm_Group"", ""lookahead_point"": 8, ""ros_time_ns"": 1784103551475676451, ""time_ns"": 1784103551475672853}"
2_setup,1784103552544983597,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784103552529809828, ""time_ns"": 1784103552529807102}"
2,1784103560032129000,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784103560010497743, ""time_ns"": 1784103560010494612}"
