metric,value,status,details
action_name,/action/MoveToPosition,INFO,telehandler_moveit.action.MoveToPosition
total_trials,10,INFO,
successful_trials,10,PASS,threshold>95.0%
avoidance_success_rate_pct,100.0,PASS,threshold>95.0%
response_threshold_ms,250.0,INFO,
success_definition,collision_detection_and_timely_stop,INFO,replan and final action result are diagnostic only
response_time_definition,collision_predicted_to_robot_stopped_for_collision,INFO,controller response from detection to first safety action: zero velocity publication
obstacle_to_detection_samples,10,INFO,diagnostic only: obstacle injection to collision_predicted
obstacle_to_detection_p95_ms,122.514,INFO,diagnostic only
obstacle_to_detection_max_ms,170.013,INFO,diagnostic only
detection_to_stop_samples,10,PASS,requires collision_predicted and robot_stopped_for_collision events
detection_to_stop_p95_ms,86.252,PASS,threshold<250.0 ms
detection_to_stop_max_ms,86.312,PASS,threshold<250.0 ms
replan_successful_trials,7,INFO,diagnostic only; not part of stop-only KPI result
action_successful_trials,0,INFO,diagnostic only; action may abort after safe stop
hit_before_stop_trials,0,PASS,from optional hit/contact/impact diagnostics
response_over_threshold_trials,0,PASS,
TE02_020_overall,PASS,PASS,10/10 trials successful
