trial_id,receive_time_ns,event,raw_data
1_setup,1784104242802065359,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784104242792803147, ""time_ns"": 1784104242792799768}"
1,1784104268519350936,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784104268513414165, ""time_ns"": 1784104268513411004}"
1,1784104276032435470,collision_predicted,"{""event"": ""collision_predicted"", ""execution_index"": 6, ""group_name"": ""Arm_Group"", ""lookahead_point"": 16, ""ros_time_ns"": 1784104276026570563, ""time_ns"": 1784104276026566393}"
1,1784104276121604678,collision_signal_received,"{""event"": ""collision_signal_received"", ""execution_index"": 7, ""group_name"": ""Arm_Group"", ""hit"": 1, ""max_attempts"": 5, ""ros_time_ns"": 1784104276115298892, ""time_ns"": 1784104276115292441}"
1,1784104276122466512,robot_stopped_for_collision,"{""event"": ""robot_stopped_for_collision"", ""execution_index"": 7, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784104276115499140, ""time_ns"": 1784104276115497165}"
1,1784104276122859893,replan_started,"{""event"": ""replan_started"", ""execution_index"": 7, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784104276115694302, ""time_ns"": 1784104276115692073}"
1,1784104276794580303,replan_succeeded,"{""event"": ""replan_succeeded"", ""group_name"": ""Arm_Group"", ""new_points"": 31, ""ros_time_ns"": 1784104276789696132, ""time_ns"": 1784104276789686155}"
1,1784104276795236350,trajectory_replaced,"{""event"": ""trajectory_replaced"", ""group_name"": ""Arm_Group"", ""new_points"": 31, ""ros_time_ns"": 1784104276789857792, ""time_ns"": 1784104276789853094}"
2_setup,1784104278177632449,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784104278171885136, ""time_ns"": 1784104278171881564}"
2,1784104284041257759,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784104284004500931, ""time_ns"": 1784104284004494743}"
2,1784104290765083653,collision_predicted,"{""event"": ""collision_predicted"", ""execution_index"": 6, ""group_name"": ""Arm_Group"", ""lookahead_point"": 8, ""ros_time_ns"": 1784104290739606712, ""time_ns"": 1784104290739601910}"
2,1784104290831868524,collision_signal_received,"{""event"": ""collision_signal_received"", ""execution_index"": 6, ""group_name"": ""Arm_Group"", ""hit"": 1, ""max_attempts"": 5, ""ros_time_ns"": 1784104290801569760, ""time_ns"": 1784104290801565253}"
2,1784104290832231838,robot_stopped_for_collision,"{""event"": ""robot_stopped_for_collision"", ""execution_index"": 6, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784104290801701823, ""time_ns"": 1784104290801699675}"
2,1784104290832349250,replan_started,"{""event"": ""replan_started"", ""execution_index"": 6, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784104290801817591, ""time_ns"": 1784104290801815121}"
2,1784104292871050457,replan_succeeded,"{""event"": ""replan_succeeded"", ""group_name"": ""Arm_Group"", ""new_points"": 53, ""ros_time_ns"": 1784104291964804483, ""time_ns"": 1784104291964799992}"
2,1784104292871195551,trajectory_replaced,"{""event"": ""trajectory_replaced"", ""group_name"": ""Arm_Group"", ""new_points"": 53, ""ros_time_ns"": 1784104291964881973, ""time_ns"": 1784104291964880153}"
3_setup,1784104293017758570,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784104292978957711, ""time_ns"": 1784104292978953895}"
3,1784104299597933877,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784104299562970914, ""time_ns"": 1784104299562966885}"
3,1784104306227781184,collision_predicted,"{""event"": ""collision_predicted"", ""execution_index"": 5, ""group_name"": ""Arm_Group"", ""lookahead_point"": 9, ""ros_time_ns"": 1784104306205508701, ""time_ns"": 1784104306205504736}"
3,1784104306273627041,collision_signal_received,"{""event"": ""collision_signal_received"", ""execution_index"": 6, ""group_name"": ""Arm_Group"", ""hit"": 1, ""max_attempts"": 5, ""ros_time_ns"": 1784104306260007313, ""time_ns"": 1784104306259999950}"
3,1784104306274300750,robot_stopped_for_collision,"{""event"": ""robot_stopped_for_collision"", ""execution_index"": 6, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784104306260207061, ""time_ns"": 1784104306260201896}"
3,1784104306274464389,replan_started,"{""event"": ""replan_started"", ""execution_index"": 6, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784104306260394600, ""time_ns"": 1784104306260390758}"
3,1784104307085374974,replan_succeeded,"{""event"": ""replan_succeeded"", ""group_name"": ""Arm_Group"", ""new_points"": 33, ""ros_time_ns"": 1784104307075488554, ""time_ns"": 1784104307075483071}"
3,1784104307085626468,trajectory_replaced,"{""event"": ""trajectory_replaced"", ""group_name"": ""Arm_Group"", ""new_points"": 33, ""ros_time_ns"": 1784104307075594887, ""time_ns"": 1784104307075592396}"
4_setup,1784104308460060794,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784104308433401695, ""time_ns"": 1784104308433398248}"
4,1784104333266139919,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784104333260237120, ""time_ns"": 1784104333260233698}"
4,1784104340837701734,collision_predicted,"{""event"": ""collision_predicted"", ""execution_index"": 6, ""group_name"": ""Arm_Group"", ""lookahead_point"": 18, ""ros_time_ns"": 1784104340833306084, ""time_ns"": 1784104340833300847}"
4,1784104340882755698,collision_signal_received,"{""event"": ""collision_signal_received"", ""execution_index"": 7, ""group_name"": ""Arm_Group"", ""hit"": 1, ""max_attempts"": 5, ""ros_time_ns"": 1784104340877922529, ""time_ns"": 1784104340877916294}"
4,1784104340883222458,robot_stopped_for_collision,"{""event"": ""robot_stopped_for_collision"", ""execution_index"": 7, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784104340878054828, ""time_ns"": 1784104340878052711}"
4,1784104340883335250,replan_started,"{""event"": ""replan_started"", ""execution_index"": 7, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784104340878185436, ""time_ns"": 1784104340878183218}"
4,1784104341697864036,replan_succeeded,"{""event"": ""replan_succeeded"", ""group_name"": ""Arm_Group"", ""new_points"": 33, ""ros_time_ns"": 1784104341692517309, ""time_ns"": 1784104341692511852}"
4,1784104341698441895,trajectory_replaced,"{""event"": ""trajectory_replaced"", ""group_name"": ""Arm_Group"", ""new_points"": 33, ""ros_time_ns"": 1784104341692613465, ""time_ns"": 1784104341692610939}"
5_setup,1784104342948480874,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784104342942887498, ""time_ns"": 1784104342942884637}"
5,1784104349090074117,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784104349084668532, ""time_ns"": 1784104349084665577}"
5,1784104356960976644,collision_predicted,"{""event"": ""collision_predicted"", ""execution_index"": 6, ""group_name"": ""Arm_Group"", ""lookahead_point"": 19, ""ros_time_ns"": 1784104356956533550, ""time_ns"": 1784104356956527816}"
5,1784104357050073980,collision_signal_received,"{""event"": ""collision_signal_received"", ""execution_index"": 7, ""group_name"": ""Arm_Group"", ""hit"": 1, ""max_attempts"": 5, ""ros_time_ns"": 1784104357045291886, ""time_ns"": 1784104357045287505}"
5,1784104357050461090,robot_stopped_for_collision,"{""event"": ""robot_stopped_for_collision"", ""execution_index"": 7, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784104357045416709, ""time_ns"": 1784104357045414312}"
5,1784104357050573071,replan_started,"{""event"": ""replan_started"", ""execution_index"": 7, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784104357045542408, ""time_ns"": 1784104357045540272}"
5,1784104359075109655,replan_succeeded,"{""event"": ""replan_succeeded"", ""group_name"": ""Arm_Group"", ""new_points"": 33, ""ros_time_ns"": 1784104358212610077, ""time_ns"": 1784104358212604098}"
5,1784104359075244028,trajectory_replaced,"{""event"": ""trajectory_replaced"", ""group_name"": ""Arm_Group"", ""new_points"": 33, ""ros_time_ns"": 1784104358212751824, ""time_ns"": 1784104358212749247}"
6_setup,1784104359121161912,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784104359099494519, ""time_ns"": 1784104359099491048}"
6,1784104365987929181,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784104365983387501, ""time_ns"": 1784104365983384151}"
6,1784104372611325000,collision_predicted,"{""event"": ""collision_predicted"", ""execution_index"": 5, ""group_name"": ""Arm_Group"", ""lookahead_point"": 9, ""ros_time_ns"": 1784104372590280871, ""time_ns"": 1784104372590275895}"
6,1784104372673131337,collision_signal_received,"{""event"": ""collision_signal_received"", ""execution_index"": 6, ""group_name"": ""Arm_Group"", ""hit"": 1, ""max_attempts"": 5, ""ros_time_ns"": 1784104372665165697, ""time_ns"": 1784104372665158111}"
6,1784104372673499611,robot_stopped_for_collision,"{""event"": ""robot_stopped_for_collision"", ""execution_index"": 6, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784104372665309664, ""time_ns"": 1784104372665306626}"
6,1784104372673781613,replan_started,"{""event"": ""replan_started"", ""execution_index"": 6, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784104372665462558, ""time_ns"": 1784104372665460100}"
6,1784104373376547493,replan_succeeded,"{""event"": ""replan_succeeded"", ""group_name"": ""Arm_Group"", ""new_points"": 31, ""ros_time_ns"": 1784104373369385695, ""time_ns"": 1784104373369380500}"
6,1784104373376974458,trajectory_replaced,"{""event"": ""trajectory_replaced"", ""group_name"": ""Arm_Group"", ""new_points"": 31, ""ros_time_ns"": 1784104373369501309, ""time_ns"": 1784104373369490580}"
7_setup,1784104374744999101,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784104374730334136, ""time_ns"": 1784104374730330168}"
7,1784104381584561579,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784104381577598137, ""time_ns"": 1784104381577593581}"
7,1784104390860110902,collision_predicted,"{""event"": ""collision_predicted"", ""execution_index"": 6, ""group_name"": ""Arm_Group"", ""lookahead_point"": 9, ""ros_time_ns"": 1784104390845202068, ""time_ns"": 1784104390845198734}"
7,1784104390933262156,collision_signal_received,"{""event"": ""collision_signal_received"", ""execution_index"": 7, ""group_name"": ""Arm_Group"", ""hit"": 1, ""max_attempts"": 5, ""ros_time_ns"": 1784104390911411002, ""time_ns"": 1784104390911403688}"
7,1784104390933726842,robot_stopped_for_collision,"{""event"": ""robot_stopped_for_collision"", ""execution_index"": 7, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784104390911533306, ""time_ns"": 1784104390911531274}"
7,1784104390933883868,replan_started,"{""event"": ""replan_started"", ""execution_index"": 7, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784104390911725510, ""time_ns"": 1784104390911722574}"
7,1784104391950017919,replan_succeeded,"{""event"": ""replan_succeeded"", ""group_name"": ""Arm_Group"", ""new_points"": 46, ""ros_time_ns"": 1784104391931404044, ""time_ns"": 1784104391931398706}"
7,1784104391950368220,trajectory_replaced,"{""event"": ""trajectory_replaced"", ""group_name"": ""Arm_Group"", ""new_points"": 46, ""ros_time_ns"": 1784104391931477896, ""time_ns"": 1784104391931476229}"
8_setup,1784104393062079683,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784104393037331892, ""time_ns"": 1784104393037328815}"
8,1784104399470514347,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784104399465422771, ""time_ns"": 1784104399465419506}"
8,1784104407452748655,collision_predicted,"{""event"": ""collision_predicted"", ""execution_index"": 6, ""group_name"": ""Arm_Group"", ""lookahead_point"": 21, ""ros_time_ns"": 1784104407278688978, ""time_ns"": 1784104407278684030}"
8,1784104407452905901,collision_signal_received,"{""event"": ""collision_signal_received"", ""execution_index"": 7, ""group_name"": ""Arm_Group"", ""hit"": 1, ""max_attempts"": 5, ""ros_time_ns"": 1784104407296715123, ""time_ns"": 1784104407296708289}"
8,1784104407453005809,robot_stopped_for_collision,"{""event"": ""robot_stopped_for_collision"", ""execution_index"": 7, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784104407296854578, ""time_ns"": 1784104407296852383}"
8,1784104407453093896,replan_started,"{""event"": ""replan_started"", ""execution_index"": 7, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784104407296974872, ""time_ns"": 1784104407296972764}"
8,1784104409467699002,replan_succeeded,"{""event"": ""replan_succeeded"", ""group_name"": ""Arm_Group"", ""new_points"": 31, ""ros_time_ns"": 1784104408835323858, ""time_ns"": 1784104408835318965}"
8,1784104409467925038,trajectory_replaced,"{""event"": ""trajectory_replaced"", ""group_name"": ""Arm_Group"", ""new_points"": 31, ""ros_time_ns"": 1784104408835441585, ""time_ns"": 1784104408835438687}"
9_setup,1784104409486546012,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784104409479766169, ""time_ns"": 1784104409479757515}"
9,1784104416139568968,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784104416120570995, ""time_ns"": 1784104416120565679}"
9,1784104422795257432,collision_predicted,"{""event"": ""collision_predicted"", ""execution_index"": 5, ""group_name"": ""Arm_Group"", ""lookahead_point"": 9, ""ros_time_ns"": 1784104422787345072, ""time_ns"": 1784104422787340459}"
9,1784104422865552903,collision_signal_received,"{""event"": ""collision_signal_received"", ""execution_index"": 6, ""group_name"": ""Arm_Group"", ""hit"": 1, ""max_attempts"": 5, ""ros_time_ns"": 1784104422860931032, ""time_ns"": 1784104422860921704}"
9,1784104422866002621,robot_stopped_for_collision,"{""event"": ""robot_stopped_for_collision"", ""execution_index"": 6, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784104422861106649, ""time_ns"": 1784104422861103568}"
9,1784104422866129300,replan_started,"{""event"": ""replan_started"", ""execution_index"": 6, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784104422861299649, ""time_ns"": 1784104422861295024}"
9,1784104424915074315,replan_succeeded,"{""event"": ""replan_succeeded"", ""group_name"": ""Arm_Group"", ""new_points"": 36, ""ros_time_ns"": 1784104423908841358, ""time_ns"": 1784104423908837084}"
9,1784104424915247000,trajectory_replaced,"{""event"": ""trajectory_replaced"", ""group_name"": ""Arm_Group"", ""new_points"": 36, ""ros_time_ns"": 1784104423908927657, ""time_ns"": 1784104423908925269}"
10_setup,1784104424981870919,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784104424964828588, ""time_ns"": 1784104424964825275}"
10,1784104469647332667,execution_state_reset,"{""event"": ""execution_state_reset"", ""ros_time_ns"": 1784104469641286786, ""time_ns"": 1784104469641283025}"
10,1784104477109076612,collision_predicted,"{""event"": ""collision_predicted"", ""execution_index"": 6, ""group_name"": ""Arm_Group"", ""lookahead_point"": 15, ""ros_time_ns"": 1784104477104737849, ""time_ns"": 1784104477104734757}"
10,1784104477195257981,collision_signal_received,"{""event"": ""collision_signal_received"", ""execution_index"": 7, ""group_name"": ""Arm_Group"", ""hit"": 1, ""max_attempts"": 5, ""ros_time_ns"": 1784104477190583923, ""time_ns"": 1784104477190576036}"
10,1784104477195827935,robot_stopped_for_collision,"{""event"": ""robot_stopped_for_collision"", ""execution_index"": 7, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784104477190777792, ""time_ns"": 1784104477190774353}"
10,1784104477195991283,replan_started,"{""event"": ""replan_started"", ""execution_index"": 7, ""group_name"": ""Arm_Group"", ""ros_time_ns"": 1784104477190962272, ""time_ns"": 1784104477190958790}"
10,1784104478032898751,replan_succeeded,"{""event"": ""replan_succeeded"", ""group_name"": ""Arm_Group"", ""new_points"": 36, ""ros_time_ns"": 1784104478028286091, ""time_ns"": 1784104478028281921}"
10,1784104478033275451,trajectory_replaced,"{""event"": ""trajectory_replaced"", ""group_name"": ""Arm_Group"", ""new_points"": 36, ""ros_time_ns"": 1784104478028383178, ""time_ns"": 1784104478028380723}"
10,1784104479244193172,collision_predicted,"{""event"": ""collision_predicted"", ""execution_index"": 4, ""group_name"": ""Arm_Group"", ""lookahead_point"": 8, ""ros_time_ns"": 1784104478418988104, ""time_ns"": 1784104478418984858}"
