trial_id,goal_label,predefined_pose,goal_accepted,goal_accept_ms,obstacle_apply_success,obstacle_apply_ms,obstacle_remove_success,obstacle_remove_ms,injection_trigger_reason,injection_trigger_time_ns,result_received,action_success,action_result_text,obstacle_to_detection_ms,detection_to_stop_ms,replan_response_ms,replan_succeeded_ms,trajectory_replaced_ms,replan_success,hit_before_stop,success,failure_reason
1,point_B,,True,12.937,True,8.412,True,19.716,feedback_point_6_of_28,1784040817244997810,True,False,Aborting: collision predicted ahead and replan failed.,123.698,0.977,124.235,,,False,False,True,none
2,point_B,,True,18.426,True,10.26,True,9.551,feedback_point_6_of_29,1784040843822863607,False,False,,34.033,67.249,101.237,,,False,False,True,none
3,point_B,,True,16.717,True,9.256,True,10.152,feedback_point_6_of_29,1784040855401758314,False,False,,18.457,84.633,102.989,1092.27,1092.933,True,False,True,none
4,point_B,,True,13.625,True,20.422,True,12.17,feedback_point_6_of_29,1784040867712789242,False,False,,29.348,65.914,95.154,,,False,False,True,none
5,point_B,,True,14.351,True,17.51,True,5.669,feedback_point_6_of_29,1784040879336452084,False,False,,25.469,76.069,100.83,,,False,False,True,none
6,point_B,,True,33.114,True,15.855,True,23.495,feedback_point_6_of_28,1784040891981314455,False,False,,24.2,79.894,104.044,,,False,False,True,none
7,point_B,,True,17.103,True,5.742,True,7.851,feedback_point_6_of_30,1784040904641449647,False,False,,11.817,94.532,106.297,,,False,False,True,none
8,point_B,,True,6.115,True,4.531,True,5.836,feedback_point_6_of_29,1784040998215165122,False,False,,20.103,78.398,98.415,,,False,False,True,none
9,point_B,,True,7.939,True,6.813,True,6.058,feedback_point_6_of_29,1784041009297657243,True,False,Aborting: collision predicted ahead and replan failed.,16.27,83.042,99.274,,,False,False,True,none
10,point_B,,True,5.424,True,6.369,True,6.909,feedback_point_6_of_29,1784041021480404834,True,False,Aborting: collision predicted ahead and replan failed.,14.374,84.14,98.47,,,False,False,True,none
