request_index,time_ns,time_s,robot_state,current_frame
1,1783517535362716939,1783517535.362717,planning,basket_link_to_armFork_joint
1,1783517535420676535,1783517535.4206767,executing,basket_link_to_armFork_joint
1,1783517535421845968,1783517535.421846,pt 1/4 err=0.0000 tol=0.0400,basket_link_to_armFork_joint
1,1783517535422367030,1783517535.4223669,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517535521902569,1783517535.5219026,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517535616598510,1783517535.6165986,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517535717908913,1783517535.717909,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517535817108098,1783517535.8171082,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517535921765215,1783517535.921765,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517536019364957,1783517536.0193648,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517536127960042,1783517536.12796,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517536219410910,1783517536.219411,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517536381055291,1783517536.381055,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517536453918313,1783517536.4539182,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517536566467117,1783517536.566467,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517536623494306,1783517536.6234944,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517536735698651,1783517536.7356987,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517536820166354,1783517536.8201663,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517536956757690,1783517536.9567578,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517537027985541,1783517537.0279856,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517537122697352,1783517537.1226974,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517537227549656,1783517537.2275498,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517537327725060,1783517537.3277252,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517537466978200,1783517537.4669783,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517537524715036,1783517537.524715,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517537642466160,1783517537.642466,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517537727772222,1783517537.7277722,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517537828691467,1783517537.8286915,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517537928536939,1783517537.928537,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517538029005445,1783517538.0290055,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517538129598605,1783517538.1295986,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517538229725718,1783517538.2297256,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517538330592875,1783517538.3305929,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517538430931806,1783517538.4309318,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517538535275191,1783517538.5352752,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517538633622481,1783517538.6336226,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517538731685285,1783517538.7316854,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517538831353913,1783517538.831354,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517538934564916,1783517538.9345648,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517539044171566,1783517539.0441716,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517539131551825,1783517539.1315517,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517539240957346,1783517539.2409575,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517539332711766,1783517539.3327117,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517539430692154,1783517539.4306922,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517539542001382,1783517539.5420015,pt 2/4 err=0.1108 tol=0.0400,basket_link_to_armFork_joint
1,1783517539673522535,1783517539.6735225,pt 2/4 err=0.1107 tol=0.0400,basket_link_to_armFork_joint
1,1783517539733668981,1783517539.7336688,pt 2/4 err=0.1106 tol=0.0400,basket_link_to_armFork_joint
1,1783517539834268723,1783517539.8342686,pt 2/4 err=0.1105 tol=0.0400,basket_link_to_armFork_joint
1,1783517539966662831,1783517539.966663,pt 2/4 err=0.1104 tol=0.0400,basket_link_to_armFork_joint
1,1783517540034573453,1783517540.0345736,pt 2/4 err=0.1103 tol=0.0400,basket_link_to_armFork_joint
1,1783517540132851161,1783517540.1328511,pt 2/4 err=0.1103 tol=0.0400,basket_link_to_armFork_joint
1,1783517540235045417,1783517540.2350454,pt 2/4 err=0.1101 tol=0.0400,basket_link_to_armFork_joint
1,1783517540333342362,1783517540.3333426,pt 2/4 err=0.1100 tol=0.0400,basket_link_to_armFork_joint
1,1783517540499607266,1783517540.4996073,pt 2/4 err=0.1099 tol=0.0400,basket_link_to_armFork_joint
1,1783517540618329047,1783517540.618329,pt 2/4 err=0.1098 tol=0.0400,basket_link_to_armFork_joint
1,1783517541694500226,1783517541.6945004,pt 2/4 err=0.1097 tol=0.0400,basket_link_to_armFork_joint
1,1783517541695679507,1783517541.6956794,pt 2/4 err=0.1097 tol=0.0400,basket_link_to_armFork_joint
1,1783517541695969814,1783517541.6959698,pt 2/4 err=0.1097 tol=0.0400,basket_link_to_armFork_joint
1,1783517541696365530,1783517541.6963656,pt 2/4 err=0.1097 tol=0.0400,basket_link_to_armFork_joint
1,1783517541696725838,1783517541.6967258,pt 2/4 err=0.1097 tol=0.0400,basket_link_to_armFork_joint
1,1783517541697138416,1783517541.6971385,pt 2/4 err=0.1063 tol=0.0400,basket_link_to_armFork_joint
1,1783517541697589055,1783517541.697589,pt 2/4 err=0.1054 tol=0.0400,basket_link_to_armFork_joint
1,1783517541711530508,1783517541.7115304,pt 2/4 err=0.1043 tol=0.0400,basket_link_to_armFork_joint
1,1783517541712188878,1783517541.712189,pt 2/4 err=0.1038 tol=0.0400,basket_link_to_armFork_joint
1,1783517541712545039,1783517541.712545,pt 2/4 err=0.1037 tol=0.0400,basket_link_to_armFork_joint
1,1783517541740537141,1783517541.7405372,pt 2/4 err=0.1037 tol=0.0400,basket_link_to_armFork_joint
1,1783517541853016342,1783517541.8530164,pt 2/4 err=0.1037 tol=0.0400,basket_link_to_armFork_joint
1,1783517541941476215,1783517541.941476,pt 2/4 err=0.1037 tol=0.0400,basket_link_to_armFork_joint
1,1783517542043914381,1783517542.0439146,pt 2/4 err=0.1037 tol=0.0400,basket_link_to_armFork_joint
