request_index,action_name,action_type_source,goal_frame_target,goal_frame_reference,goal_height_distance,goal_angle_degrees,goal_max_velocity,goal_auto_adjust,send_time_ns,server_available,goal_accepted,result_received,communication_success,result_success,result_status,outcome,latency_ms,status,reason
1,/action/effector_controller,telehandler_moveit.action.EffectorController,arm_fork_link,basket_link,0.0,-10.0,1.0,False,1783517531627206351,True,True,True,True,True,4,Done.,32867.007697,PASS,Communication completed; action_result_success=True; outcome=Done.
2,/action/effector_controller,telehandler_moveit.action.EffectorController,arm_fork_link,basket_link,0.0,-10.0,1.0,False,1783517565494340083,True,True,True,True,True,4,Done.,160.495578,PASS,Communication completed; action_result_success=True; outcome=Done.
3,/action/effector_controller,telehandler_moveit.action.EffectorController,arm_fork_link,basket_link,0.0,-10.0,1.0,False,1783517566655119461,True,True,True,True,True,4,Done.,92.167073,PASS,Communication completed; action_result_success=True; outcome=Done.
4,/action/effector_controller,telehandler_moveit.action.EffectorController,arm_fork_link,basket_link,0.0,-10.0,1.0,False,1783517567747520027,True,True,True,True,True,4,Done.,74.510802,PASS,Communication completed; action_result_success=True; outcome=Done.
5,/action/effector_controller,telehandler_moveit.action.EffectorController,arm_fork_link,basket_link,0.0,-10.0,1.0,False,1783517568822189489,True,True,True,True,True,4,Done.,136.445292,PASS,Communication completed; action_result_success=True; outcome=Done.
6,/action/effector_controller,telehandler_moveit.action.EffectorController,arm_fork_link,basket_link,0.0,-10.0,1.0,False,1783517569958856308,True,True,True,True,True,4,Done.,97.924276,PASS,Communication completed; action_result_success=True; outcome=Done.
7,/action/effector_controller,telehandler_moveit.action.EffectorController,arm_fork_link,basket_link,0.0,-10.0,1.0,False,1783517571057082049,True,True,True,True,True,4,Done.,97.310921,PASS,Communication completed; action_result_success=True; outcome=Done.
8,/action/effector_controller,telehandler_moveit.action.EffectorController,arm_fork_link,basket_link,0.0,-10.0,1.0,False,1783517572154738055,True,True,True,True,True,4,Done.,132.355336,PASS,Communication completed; action_result_success=True; outcome=Done.
9,/action/effector_controller,telehandler_moveit.action.EffectorController,arm_fork_link,basket_link,0.0,-10.0,1.0,False,1783517573287350890,True,True,True,True,True,4,Done.,163.899327,PASS,Communication completed; action_result_success=True; outcome=Done.
10,/action/effector_controller,telehandler_moveit.action.EffectorController,arm_fork_link,basket_link,0.0,-10.0,1.0,False,1783517574451536988,True,True,True,True,True,4,Done.,44.985211,PASS,Communication completed; action_result_success=True; outcome=Done.
11,/action/effector_controller,telehandler_moveit.action.EffectorController,arm_fork_link,basket_link,0.0,-10.0,1.0,False,1783517575496708148,True,True,True,True,True,4,Done.,108.977287,PASS,Communication completed; action_result_success=True; outcome=Done.
12,/action/effector_controller,telehandler_moveit.action.EffectorController,arm_fork_link,basket_link,0.0,-10.0,1.0,False,1783517576605881912,True,True,True,True,True,4,Done.,274.455327,PASS,Communication completed; action_result_success=True; outcome=Done.
13,/action/effector_controller,telehandler_moveit.action.EffectorController,arm_fork_link,basket_link,0.0,-10.0,1.0,False,1783517577880583798,True,True,True,True,True,4,Done.,118.993103,PASS,Communication completed; action_result_success=True; outcome=Done.
14,/action/effector_controller,telehandler_moveit.action.EffectorController,arm_fork_link,basket_link,0.0,-10.0,1.0,False,1783517578999811185,True,True,True,True,True,4,Done.,113.097367,PASS,Communication completed; action_result_success=True; outcome=Done.
