receive_time_ns,parse_ok,error,source_topic,source_stamp_sec,unity_update_time_sec,latency_ms,joint_count,raw_data
1783590536498557765,True,,/joint_states,1783590535.71831,1783590535.877,158.69,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590535.718310000,""unity_update_time_sec"":1783590535.877,""latency_ms"":158.690,""joint_count"":9}"
1783590536498766188,True,,/joint_states,1783590535.81652,1783590535.877,60.476,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590535.816520000,""unity_update_time_sec"":1783590535.877,""latency_ms"":60.476,""joint_count"":9}"
1783590536498906653,True,,/joint_states,1783590535.91854,1783590536.114,195.465,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590535.918540000,""unity_update_time_sec"":1783590536.114,""latency_ms"":195.465,""joint_count"":9}"
1783590536499047859,True,,/joint_states,1783590536.01703,1783590536.114,96.972,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590536.017030000,""unity_update_time_sec"":1783590536.114,""latency_ms"":96.972,""joint_count"":9}"
1783590536581209458,True,,/joint_states,1783590536.11602,1783590536.33,213.984,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590536.116020000,""unity_update_time_sec"":1783590536.330,""latency_ms"":213.984,""joint_count"":9}"
1783590536581508382,True,,/joint_states,1783590536.21754,1783590536.33,112.463,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590536.217540000,""unity_update_time_sec"":1783590536.330,""latency_ms"":112.463,""joint_count"":9}"
1783590536584288841,True,,/joint_states,1783590536.31638,1783590536.33,13.622,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590536.316380000,""unity_update_time_sec"":1783590536.330,""latency_ms"":13.622,""joint_count"":9}"
1783590536655793479,True,,/joint_states,1783590536.41874,1783590536.587,168.255,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590536.418740000,""unity_update_time_sec"":1783590536.587,""latency_ms"":168.255,""joint_count"":9}"
1783590536656395965,True,,/joint_states,1783590536.51667,1783590536.587,70.326,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590536.516670000,""unity_update_time_sec"":1783590536.587,""latency_ms"":70.326,""joint_count"":9}"
1783590536759180916,True,,/joint_states,1783590536.61895,1783590536.631,12.045,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590536.618950000,""unity_update_time_sec"":1783590536.631,""latency_ms"":12.045,""joint_count"":9}"
1783590536827498158,True,,/joint_states,1783590536.7173,1783590536.749,31.701,9,"{""source_topic"":""/joint_states"",""source_stamp_sec"":1783590536.717300000,""unity_update_time_sec"":1783590536.749,""latency_ms"":31.701,""joint_count"":9}"
